"Âge","taille_commune","rev_mens_net","dist_centreco","source_rev","dip_sup_brev","niv_dipl","depenses_mens","pref_emplettes","paylignmonth","restpermonth","binarachalist","priplafcompul","binarpayelec","elecpaytype","paiem_elec_mois","nbapppayelec","montantpertransac","plaisirpermonth","revenus","Sexe","achat_hors_liste","utilisateur_elec","diplom","niv_dip","payelecpermonth","CB","pay_mob","QR","E_wallet","taille_ville","taille_ville2"
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Plus de 1500€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",400,"En physique, dans un magasin",3,"4","Oui",100,1,"Carte Bancaire, sans contact",1,2,40,200,1862,0,1,1,1,4,"Entre 1 et 15",1,0,0,0,35000,35
21,"Petite ville (entre 5 000 et 19 999 habitants)","Entre 501 et 1000€",15,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",150,"En physique, dans un magasin",5,"10","Non",100,1,"Carte Bancaire, sans contact, espèce",24,3,20,100,572,1,0,1,1,3,"Entre 16 et 30",1,0,0,0,12500,12.5
23,"Très grande ville (+ de 200 000 habitants)","Entre 501 et 1000€",12,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",400,"En ligne",6,"4","Oui",50,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",31,2,15,300,866,1,1,1,1,4,"Entre 31 et 45",1,1,0,0,1500000,1500
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 501 et 1000€",15,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",900,"En ligne",3,"5","Non",40,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",8,2,400,300,538,1,0,1,1,3,"Entre 1 et 15",1,1,0,0,35000,35
55,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 1001 et 1500€",5,"Revenus du travail","Oui","Diplôme de niveau 3 (CAP ou BEP)",1200,"En ligne et en physique",2,"1","Non",30,1,"Carte Bancaire, sans contact, E-wallet (cagnottes type PayPal, néobanques, …)",27,2,30,50,1363,1,0,1,1,1,"Entre 16 et 30",1,0,0,1,35000,35
29,"Grande ville (entre 50 000 et 199 999 habitants)","Plus de 1500€",30,"Revenus du travail","Oui","Diplôme de niveau 7 (BAC+5)",2500,"En physique, dans un magasin",1,"15","Non",300,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",57,2,20,800,1759,1,0,1,1,5,"45 et +",1,1,0,1,1500000,1500
35,"Petite ville (entre 5 000 et 19 999 habitants)","Plus de 1500€",2,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 5 (BAC+2)",1000,"En physique, dans un magasin",1,"01","Non",10,0,NA,0,0,1,1,2409,0,0,0,1,3,"0",0,0,0,0,12500,12.5
31,"Ville moyenne (entre 20 000 et 49 999 habitants)","Plus de 1500€",10,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",250,"En ligne et en physique",5,"10","Oui",50,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",23,2,30,400,1753,1,1,1,1,3,"Entre 16 et 30",1,1,0,1,35000,35
30,"Petite ville (entre 5 000 et 19 999 habitants)","Plus de 1500€",3,"Revenus du travail","Oui","Diplôme de niveau 7 (BAC+5)",250,"En ligne et en physique",7,"8","Non",35,1,"Carte Bancaire, sans contact",9,1,25,100,1767,1,0,1,1,5,"Entre 1 et 15",1,0,0,0,12500,12.5
22,"Petite ville (entre 5 000 et 19 999 habitants)","Entre 1001 et 1500€",10,"Revenus du travail","Oui","Diplôme de niveau 3 (CAP ou BEP)",1000,"En physique, dans un magasin",10,"6","Non",90,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",20,3,30,300,1050,1,0,1,1,1,"Entre 16 et 30",1,1,0,1,12500,12.5
22,"Grande ville (entre 50 000 et 199 999 habitants)","Entre 501 et 1000€",5,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",600,"En ligne et en physique",10,"5","Non",1,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",24,4,10,50,614,1,0,1,1,4,"Entre 16 et 30",1,1,0,0,1500000,1500
28,"Ville moyenne (entre 20 000 et 49 999 habitants)","Plus de 1500€",20,"Revenus du travail","Oui","Diplôme de niveau 7 (BAC+5)",400,"En ligne et en physique",10,"6","Non",100,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",16,3,50,200,2427,1,0,1,1,5,"Entre 16 et 30",1,1,0,0,35000,35
21,"Grande ville (entre 50 000 et 199 999 habitants)","Entre 501 et 1000€",15,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",800,"En physique, dans un magasin",5,"5","Oui",10,1,"Carte Bancaire, sans contact, E-wallet (cagnottes type PayPal, néobanques, …)",14,1,15,60,626,1,1,1,1,3,"Entre 1 et 15",1,0,0,1,1500000,1500
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 501 et 1000€",20,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",200,"En ligne et en physique",1,"5","Oui",70,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",1,2,20,80,544,0,1,1,1,3,"Entre 1 et 15",1,1,0,1,35000,35
20,"Grande ville (entre 50 000 et 199 999 habitants)","Entre 0 et 500€",5,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 4 (Baccalauréat)",200,"En physique, dans un magasin",40,"4","Non",20,0,NA,0,0,1,100,366,1,0,0,1,2,"0",0,0,0,0,1500000,1500
55,"Ville moyenne (entre 20 000 et 49 999 habitants)","Plus de 1500€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",3000,"En ligne et en physique",3,"3","Non",40,1,"Carte Bancaire, sans contact, E-wallet (cagnottes type PayPal, néobanques, …)",24,1,40,100,1724,1,0,1,1,4,"Entre 16 et 30",1,0,0,1,35000,35
22,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 1001 et 1500€",10,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",350,"En ligne et en physique",10,"10","Oui",350,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …), Binance (cryptomonnaie)",14,3,20,1,1172,0,1,1,1,3,"Entre 1 et 15",1,1,0,1,35000,35
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 501 et 1000€",20,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",200,"En ligne et en physique",50,"20","Non",100,1,"Carte Bancaire, sans contact",30,1,10,100,710,1,0,1,1,4,"Entre 16 et 30",1,0,0,0,35000,35
